customer_id,region,product,sales,age,churn
1,East,Tablet,34506,62,0
2,West,Phone,6158,49,0
3,West,Tablet,1659,58,0
4,South,Monitor,14590,58,0
5,West,Monitor,28688,29,0
6,North,Phone,13070,46,0
7,West,Monitor,21983,21,0
8,East,Laptop,31754,42,0
9,East,Laptop,40710,43,0
10,North,Phone,14333,56,0
11,East,Monitor,20533,35,0
12,South,Tablet,48221,59,0
13,North,Monitor,38174,54,0
14,North,Monitor,20058,26,0
15,West,Monitor,27300,24,1
16,South,Tablet,14299,50,1
17,East,Monitor,44113,55,0
18,South,Tablet,8224,53,0
19,East,Monitor,1353,50,0
20,South,Monitor,11265,57,0
21,East,Tablet,6202,20,1
22,East,Tablet,34498,26,0
23,South,Phone,1778,22,0
24,West,Phone,45544,54,0
25,East,Laptop,31396,31,0
26,North,Laptop,41434,29,0
27,North,Phone,9796,30,1
28,West,Laptop,46162,28,0
29,South,Monitor,4918,30,0
30,West,Laptop,2978,29,1
31,North,Monitor,38916,18,0
32,West,Tablet,19061,46,1
33,East,Laptop,44852,43,0
34,West,Phone,31083,31,0
35,South,Laptop,6029,45,1
36,West,Tablet,30355,64,0
37,South,Monitor,36166,59,1
38,East,Phone,35270,19,0
39,East,Monitor,32056,39,0
40,West,Laptop,36810,43,0
41,West,Monitor,45151,29,0
42,South,Monitor,17217,57,0
43,East,Tablet,45743,59,0
44,East,Laptop,30719,39,0
45,South,Tablet,20415,29,1
46,West,Monitor,33953,45,1
47,North,Monitor,3792,57,0
48,East,Monitor,13142,33,0
49,West,Tablet,35872,48,1
50,East,Phone,30697,39,0
51,East,Monitor,7061,58,1
52,East,Phone,31483,41,1
53,South,Laptop,35749,41,1
54,South,Monitor,38913,48,0
55,South,Tablet,37472,38,1
56,South,Phone,40803,30,0
57,North,Phone,19368,20,0
58,East,Monitor,34247,35,0
59,West,Phone,40834,24,1
60,North,Phone,7935,24,0
61,South,Tablet,20599,28,0
62,East,Monitor,10918,54,1
63,East,Phone,45486,55,0
64,South,Phone,39653,27,0
65,West,Tablet,49471,42,0
66,West,Laptop,13608,61,0
67,South,Monitor,47198,56,1
68,North,Laptop,39345,37,0
69,East,Monitor,22218,60,1
70,East,Phone,23762,26,0
71,East,Monitor,3495,33,0
72,South,Phone,35512,43,0
73,North,Monitor,5360,19,0
74,East,Monitor,49898,59,0
75,North,Laptop,32425,51,0
76,West,Monitor,46294,50,1
77,South,Laptop,6125,61,0
78,South,Laptop,49644,51,0
79,North,Phone,14947,40,0
80,South,Phone,27737,60,0
81,North,Laptop,22523,50,0
82,West,Tablet,47145,47,0
83,West,Laptop,45757,57,0
84,North,Phone,40645,40,1
85,North,Tablet,44521,40,0
86,West,Laptop,9156,56,1
87,East,Laptop,43762,29,0
88,South,Phone,18784,31,1
89,South,Tablet,37795,55,0
90,West,Tablet,43659,26,0
91,East,Monitor,39214,45,0
92,North,Monitor,48109,58,0
93,South,Laptop,20355,38,0
94,East,Monitor,6083,40,1
95,East,Tablet,1099,32,0
96,East,Monitor,45181,35,0
97,South,Laptop,1622,63,0
98,East,Phone,35163,60,0
99,South,Tablet,1428,50,0
100,South,Phone,47359,48,0
